,순위,책이름,저자,출판사,가격
0,1,트렌드 코리아 2026,"김난도,전미영,최지혜,권정윤,한다혜,이혜원,이수진,서유현,전다현,이준영,이향은,김나은",미래의창,"18,000원"
1,2,처음 만나는 양자의 세계,채은미,북플레저,"17,100원"
2,3,대형주 추세추종 투자법칙,이종호(전황),사피엔테스,"19,800원"
3,4,위버멘쉬,프리드리히 니체,떠오름,"16,020원"
4,5,박곰희 연금 부자 수업,박곰희,인플루엔셜,"18,900원"
5,6,주식 투자의 뿌리,박두환,애덤스미스,"19,800원"
6,7,절창 切創,구병모,문학동네,"16,200원"
7,8,다크 심리학,다크 사이드 프로젝트,어센딩,"19,710원"
8,9,단 한 줄만 내 마음에 새긴다고 해도,나민애,포레스트북스,"21,420원"
9,10,어른의 행복은 조용하다,태수,페이지2북스,"16,020원"
10,11,머니 트렌드 2026,"김도윤,정태익,김광석,김승주,김용섭,김학렬,김현준,최재붕",북모먼트,"23,400원"
11,12,어스탐 경의 임사전언,이영도,황금가지,"18,000원"
12,13,호의에 대하여,문형배,김영사,"16,920원"
13,14,렛뎀 이론,멜 로빈스,비즈니스북스,"18,000원"
14,15,기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리,갤리온,"16,200원"
15,16,혼모노,성해나,창비,"16,200원"
16,17,미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,주미,지구별아이,"13,320원"
17,18,손자병법,손자,현대지성,"11,700원"
18,19,결국 너의 시간은 온다,염경엽,웅진지식하우스,"17,100원"
19,20,스토너,존 윌리엄스,알에이치코리아(RHK),"15,120원"
20,21,모순,양귀자,쓰다,"11,700원"
21,22,ETF 투자의 모든 것,문일호,매일경제신문사,"18,900원"
22,23,사이언스 2026,내셔널지오그래픽 키즈,비룡소,"25,200원"
23,24,그 비스크 돌은 사랑을 한다 15 한정판,후쿠다 신이치,소미미디어,"25,200원"
