,title,link,thumbnail,sizeheight,sizewidth
0,0JMM 2068 남자레귤러핏기본데님청바지,http://shopping.phinf.naver.net/main_5678752/56787524805.20250919010238.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5678752/56787524805.20250919010238.jpg,300,300
1,여성 하이웨이스트 연청 와이드 청바지 통바지 편안함 스타일리시 캐주얼 데님 : 믿음상점 스토어,https://shop-phinf.pstatic.net/20251015_281/1760512390478oRzer_PNG/42211957144911892_1321802660.png,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20251015_281/1760512390478oRzer_PNG/42211957144911892_1321802660.png,1000,1000
2,-30 여자 청바지 여성 데님 밴딩 일자 통 와이드 팬츠,http://shopping.phinf.naver.net/main_5666884/56668842682.20250910160628.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5666884/56668842682.20250910160628.jpg,600,600
3,작은 자른 슬릿 높은 허리 청바지 2022 봄 여름 얇은 스트레이트 느슨한 모든 일치 자른 바지 트위드자켓 빠른배송 - 청바지/바지 | 쿠팡,https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/9db8/caea867b3d7bba130a48ac67a1f14f9ee5c2f16e5770c65a6eaf4f72c888.jpeg,https://search.pstatic.net/sunny/?type=b150&src=https://thumbnail.coupangcdn.com/thumbnails/remote/492x492ex/image/vendor_inventory/9db8/caea867b3d7bba130a48ac67a1f14f9ee5c2f16e5770c65a6eaf4f72c888.jpeg,492,492
4,여성 청바지 스트레이트 슬리밍 데님팬츠 여름 찢어진 드레이프 허리 : 리메리아,https://shop-phinf.pstatic.net/20250924_192/1758707560701N0kwu_JPEG/9070779233600854_1788794120.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250924_192/1758707560701N0kwu_JPEG/9070779233600854_1788794120.jpg,800,800
5,키작녀청바지 세미와이드청바지 진청바지 : 미니팬츠,http://shop1.phinf.naver.net/20240320_292/1710861971981oozA6_JPEG/111997805654234812_1322464204.JPG,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20240320_292/1710861971981oozA6_JPEG/111997805654234812_1322464204.JPG,1000,1000
6,JEEP spirit 남성 청바지 스판 남자 캐쥬얼 팬츠 지프 : 우수한 편의점,https://shop-phinf.pstatic.net/20251014_131/1760414313349xkfCD_PNG/15377327610400236_1277581610.png,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20251014_131/1760414313349xkfCD_PNG/15377327610400236_1277581610.png,800,800
7,여아 초등학생 롱 와이드 단추 밴딩 청바지 : 비상2021,https://shop-phinf.pstatic.net/20250622_282/1750578510267dvkoj_JPEG/33808364078380770_2099176101.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250622_282/1750578510267dvkoj_JPEG/33808364078380770_2099176101.jpg,760,760
8,후앙스 데일리 와이드 절개 뒷밴딩 캐주얼 청바지 CICP7415,http://shopping.phinf.naver.net/main_5698739/56987391865.20250929143357.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5698739/56987391865.20250929143357.jpg,600,600
9,청바지 스판 팬츠 남자명품청바지 데님팬츠 일자핏 럭셔리 : 다바르스토어,http://shop1.phinf.naver.net/20251015_48/1760494122059BRvRY_JPEG/12066086175548523_883824603.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20251015_48/1760494122059BRvRY_JPEG/12066086175548523_883824603.jpg,800,800
10,남성청바지 스트레이트 데님 주니어 스판 편한 팬츠 k25 : 심쿵 태양지점,https://shop-phinf.pstatic.net/20250613_71/1749801829669WfX2v_JPEG/31532144502720599_742145688.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250613_71/1749801829669WfX2v_JPEG/31532144502720599_742145688.jpg,800,800
11,세미부츠컷 부츠컷청바지 진청데님 진청바지 키작녀청바지 : 우아모르,http://shop1.phinf.naver.net/20251017_197/1760673652588XTbfs_JPEG/12245616614890252_916654229.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20251017_197/1760673652588XTbfs_JPEG/12245616614890252_916654229.jpg,1853,1853
12,와이드핏 블루 청바지 3PT010 :상세정보 - HAGO(하고),https://magjay.co.kr/images/j223/pt/J223FPT010_blue/J223FPT010_blue_02.jpg,https://search.pstatic.net/sunny/?type=b150&src=https://magjay.co.kr/images/j223/pt/J223FPT010_blue/J223FPT010_blue_02.jpg,1371,1020
13,여성 겨울 청바지 기모 핀턱 와이드 일자 통 데님 팬츠 길이 사이즈다양 빅사이즈 모트 : 데일리앤77,http://shop1.phinf.naver.net/20231129_51/1701219342091h4rt9_JPEG/15201771666127200_65335886.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20231129_51/1701219342091h4rt9_JPEG/15201771666127200_65335886.jpg,1000,1000
14,코아픽샵 남자 키작남 일자핏 청바지 도톰 스트레이트 스판 9부 바지 꾹1 : 코아픽샵,https://shop-phinf.pstatic.net/20251004_170/1759505847885m5GXB_JPEG/86196316868653424_884381240.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20251004_170/1759505847885m5GXB_JPEG/86196316868653424_884381240.jpeg,500,375
15,로우라이즈 중청 데님 와이드청바지 : LOOKON,http://shop1.phinf.naver.net/20220713_53/1657701221589H6fW1_JPEG/58837049409049961_1021983942.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20220713_53/1657701221589H6fW1_JPEG/58837049409049961_1021983942.jpg,1000,1000
16,럭스골프 남성 스트레치 데님 워싱 기모 청바지 MX4W534,http://shopping.phinf.naver.net/main_5680374/56803742139.20250919213813.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5680374/56803742139.20250919213813.jpg,1000,1000
17,지프 와이드 핏 청바지 JO1DPM501,http://shopping.phinf.naver.net/main_5364988/53649885864.1.20250616034247.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5364988/53649885864.1.20250616034247.jpg,600,500
