,MAE,MAE,MAE,R2,R2,R2,RMSE,RMSE,RMSE
MODEL,DEEP_MLP,RF,XGB,DEEP_MLP,RF,XGB,DEEP_MLP,RF,XGB
HOUR,,,,,,,,,
1,18568.268,20234.584,19084.937,0.207,0.012,0.112,36359.4,40582.713,38481.57
2,7996.053,9219.434,7992.954,0.04,0.019,0.064,28456.976,28769.41,28098.112
3,8786.678,10042.701,8688.068,0.0,-0.003,0.024,30618.845,30664.867,30260.293
4,4877.156,4577.524,4496.411,0.275,0.315,0.317,9479.619,9211.508,9199.756
5,6255.987,5900.77,5510.948,0.333,0.381,0.44,10738.262,10345.257,9834.239
6,8258.019,8992.986,8683.542,0.071,0.057,0.072,20482.138,20636.215,20467.598
7,8064.793,6619.786,6109.017,0.157,0.321,0.4,13037.159,11697.625,10994.516
8,10433.693,7734.328,7446.228,0.262,0.452,0.472,16933.994,14602.08,14327.984
9,14860.082,14434.988,13422.908,0.038,0.04,0.087,48067.257,48003.825,46834.035
10,21209.647,21389.19,19843.404,0.014,0.028,0.054,51929.427,51569.237,50877.782
